Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Weekday,Month,ActiveMinutes,TotalRecordedMinutes,ActiveHours,SedentaryHours,ActivePercentage,CaloriesPerStep,StepCategory,DayType
1503960366,2016-04-07,10198,6.44000005722046,6.44000005722046,0.0,1.20000004768372,0.790000021457672,4.44999980926514,0.0,17,20,195,1208,1755,Thursday,April,232,1440,3.8666666666666667,20.133333333333333,16.11111111111111,0.17209256717003335,Highly active,Weekday
1503960366,2016-04-08,12521,7.94000005722046,7.94000005722046,0.0,3.30999994277954,0.899999976158142,3.74000000953674,0.0,46,22,212,1160,1895,Friday,April,280,1440,4.666666666666667,19.333333333333332,19.444444444444446,0.1513457391582142,Highly active,Weekday
1503960366,2016-04-09,12432,8.10000038146973,8.10000038146973,0.0,2.58999991416931,0.589999973773956,4.92000007629395,0.0,32,15,248,738,1883,Saturday,April,295,1033,4.916666666666667,12.3,28.55759922555663,0.15146396396396397,Highly active,Weekend
1503960366,2016-04-10,10057,6.98000001907349,6.98000001907349,0.0,4.0,0.490000009536743,2.48000001907349,0.0,44,13,168,737,1755,Sunday,April,225,962,3.75,12.283333333333333,23.38877338877339,0.17450531967783633,Highly active,Weekend
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0.0,2.03999996185303,0.569999992847443,4.65000009536743,0.0,26,14,216,855,1811,Monday,April,256,1111,4.266666666666667,14.25,23.042304230423042,0.16478616924476797,Highly active,Weekday
1503960366,2016-04-12,224,0.140000000596046,0.140000000596046,0.0,0.0,0.0,0.129999995231628,0.0,0,0,9,32,50,Tuesday,April,9,41,0.15,0.5333333333333333,21.951219512195124,0.22321428571428573,Low activity,Weekday
1503960366,2016-04-13,10735,6.96999979019165,6.96999979019165,0.0,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21,19,217,776,1797,Wednesday,April,257,1033,4.283333333333333,12.933333333333334,24.878993223620522,0.16739636702375407,Highly active,Weekday
1503960366,2016-04-14,10460,6.73999977111816,6.73999977111816,0.0,2.44000005722046,0.400000005960464,3.91000008583069,0.0,30,11,181,1218,1776,Thursday,April,222,1440,3.7,20.3,15.416666666666668,0.16978967495219885,Highly active,Weekday
1503960366,2016-04-15,9762,6.28000020980835,6.28000020980835,0.0,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29,34,209,726,1745,Friday,April,272,998,4.533333333333333,12.1,27.25450901803607,0.1787543536160623,Moderately active,Weekday
1503960366,2016-04-16,12669,8.15999984741211,8.15999984741211,0.0,2.71000003814697,0.409999996423721,5.03999996185303,0.0,36,10,221,773,1863,Saturday,April,267,1040,4.45,12.883333333333333,25.67307692307692,0.14705185886810324,Highly active,Weekend
